# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	O29M	00	VHZ	2016-07-15 00:00:00	2599-12-31 23:59:59	60.3024	-138.5755	1423	2
TA	O30N	00	VHZ	2016-05-12 00:00:00	2599-12-31 23:59:59	60.7704	-136.0906	821	2
TA	O48B	00	VHZ	2016-01-12 00:00:00	2599-12-31 23:59:59	40.2571	-85.1553	300	0
TA	O53A	00	VHZ	2014-07-29 21:30:00	2599-12-31 23:59:59	40.2493	-81.2129	320	0
TA	P16K	00	VHZ	2016-05-26 00:00:00	2599-12-31 23:59:59	59.0314	-157.9906	85.9	2
TA	P17K	00	VHZ	2016-05-31 00:00:00	2599-12-31 23:59:59	59.1953	-156.4394	91	2
TA	P18K	00	VHZ	2015-06-15 00:00:00	2599-12-31 23:59:59	59.3922	-155.2292	680	2
TA	P19K	00	VHZ	2015-06-24 00:00:00	2599-12-31 23:59:59	59.6524	-153.2319	629	2
TA	P23K	00	VHZ	2016-05-22 00:00:00	2599-12-31 23:59:59	59.9979	-147.4031	287	2
TA	P29M	00	VHZ	2016-07-15 00:00:00	2599-12-31 23:59:59	59.6304	-137.7381	679	2
TA	P30M	00	VHZ	2016-04-30 00:00:00	2599-12-31 23:59:59	60.1218	-136.9598	883	2
TA	P32M	00	VHZ	2016-06-02 00:00:00	2599-12-31 23:59:59	59.5898	-133.7147	793	2
TA	P33M	00	VHZ	2015-10-15 00:00:00	2599-12-31 23:59:59	60.2114	-132.8174	1066	2
TA	P49A	00	VHZ	2014-04-05 18:30:00	2599-12-31 23:59:59	39.5342	-84.7164	272	0
TA	P52A	00	VHZ	2012-08-18 19:00:00	2599-12-31 23:59:59	39.6337	-82.1325	293	0
TA	POKR	00	VHZ	2012-10-02 00:00:00	2599-12-31 23:59:59	65.1171	-147.4335	501	0
TA	POKR	01	VHZ	2013-06-14 19:00:00	2599-12-31 23:59:59	65.1171	-147.4335	501	5
TA	Q16K	00	VHZ	2016-06-09 00:00:00	2599-12-31 23:59:59	58.6774	-156.6556	22	2
TA	Q17K	00	VHZ	2016-08-02 23:33:48	2599-12-31 23:59:59	58.2637	-155.8865	1165	2
TA	Q18K	00	VHZ	2016-08-06 15:37:44	2599-12-31 23:59:59	58.6484	-155.0086	1250	2
TA	Q19K	00	VHZ	2015-08-15 00:00:00	2599-12-31 23:59:59	58.9287	-153.6446	631	2
TA	Q20K	00	VHZ	2016-05-25 00:00:00	2599-12-31 23:59:59	58.6097	-152.3942	180	2
TA	Q23K	00	VHZ	2014-08-16 00:00:00	2599-12-31 23:59:59	59.4296	-146.3399	46	1.9
TA	Q24A	00	VHZ	2008-06-28 00:00:00	2599-12-31 23:59:59	38.9641	-105.1492	2775	0
TA	Q32M	00	VHZ	2016-07-24 00:00:00	2599-12-31 23:59:59	58.9601	-132.2691	1951	2
